"File","Line","Tag","Id","Class","IdRaw","ClassRaw","Snippet"
"app\presentation\CareerAdvisor\components\CareerTab\index.tsx","110","PrimaryButton","","close-button","","""close-button""","<PrimaryButton htmlType='button' className=""close-button"" onClick={toggleModal}>{i18n.t(careerAdvisorMessages.close.key)}</PrimaryButton>"
"app\presentation\CareerAdvisor\components\QuestionnaireSelectionModal\index.tsx","149","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\JobRoleDescription\Components\SkillCenters\index.tsx","135","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\LandingPage\Components\PassionWrapper\index.tsx","394","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\LandingPage\Components\RecommendationModal\index.tsx","53","PrimaryButton","","attempt-now","","'attempt-now'","<PrimaryButton htmlType='button' className='attempt-now' onClick={toggleModal}>{i18n.t(careerAdvisorMessages.attemptNow.key)}</PrimaryButton>"
"app\presentation\CareerAdvisor\LandingPage\Components\RecommendationModal\index.tsx","54","PrimaryButton","","do-it-later","","'do-it-later'","<PrimaryButton htmlType='button' className='do-it-later' onClick={handleDoItLater}>{i18n.t(careerAdvisorMessages.doItLater.key)}</PrimaryButton>"
"app\presentation\CareerAdvisor\MatchedRoles\components\FirstVisitTutorial\TutorialInstruction.tsx","82","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\MatchedRoles\components\SelfReview\Components\QuestionCard\index.tsx","102","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\MatchedRoles\components\SelfReview\Components\QuestionCard\index.tsx","133","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\MatchedRoles\components\SelfReview\index.tsx","194","PrimaryButton","","career-button","","""career-button""","<PrimaryButton htmlType=""button"" className=""career-button"" disabled={careerPreference === undefined ? true : false} onClick={onClick}>{buttonValue}</PrimaryButton>"
"app\presentation\CareerAdvisor\MatchedRoles\components\SelfReview\index.tsx","207","PrimaryButton","","{expr:attributeStatus.REVIEW ? `review-button`:`career-button`}","","{attributeStatus.REVIEW","<PrimaryButton htmlType=""button"" className={attributeStatus.REVIEW ? `review-button`:`career-button`} disabled={careerPreference === undefined ? true : false} onClick={onClick}>{buttonValue}</PrimaryButton>"
"app\presentation\CareerAdvisor\MatchedRoles\components\SelfReview\index.tsx","378","PrimaryButton","","close-button","","""close-button""","<PrimaryButton htmlType='button' className=""close-button"" onClick={() => setInfoModal(false)}>{i18n.t(careerAdvisorMessages.gotIt.key)}</PrimaryButton>"
"app\presentation\CareerAdvisor\QuestionnaireByAttributeGroupKey\Components\AttributesProgress\index.tsx","84","PrimaryButton","","close-button","","""close-button""","<PrimaryButton htmlType='button' className=""close-button"" onClick={() => setAttributeData(null)}>{i18n.t(careerAdvisorMessages.gotIt.key)}</PrimaryButton>"
"app\presentation\CareerAdvisor\QuestionnaireByAttributeGroupKey\index.tsx","237","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\QuestionnaireByAttributeGroupKey\index.tsx","246","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\QuestionnaireByAttributeKey\AptitudeProgressModal.tsx","82","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\QuestionnairesRatings\index.tsx","134","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\QuestionnairesRatings\index.tsx","194","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\QuestionnaireSummary\Components\CompleteOtherQuestionnaires\index.tsx","70","SecondaryButton","","career-button","","""career-button""","<SecondaryButton htmlType=""button"" className=""career-button"" onClick={() => navigateToQuestionnaire(attributeGroup)}>{attributeCompletionStatus(attributeGroup?.getAttributes())?.value}</SecondaryButton>"
"app\presentation\CareerAdvisor\QuestionnaireSummary\Components\CompleteOtherQuestionnaires\index.tsx","92","SecondaryButton","","career-button questionnaire-content-container-passion","","""career-button","<SecondaryButton htmlType=""button"" className=""career-button questionnaire-content-container-passion"" onClick={() => navigateToPassion()}>{passionsData !== null ? i18n.t('careerAdvisor.labelsAndTitles.REVIEW') : i18n.t('careerAdvisor.labelsAndTitles.CHOOSE')}</SecondaryButton>"
"app\presentation\CareerAdvisor\QuestionnaireSummary\index.tsx","117","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\QuestionnaireSummary\index.tsx","144","","","","","","htmlType=""button"""
"app\presentation\CareerAdvisor\ShareReport\index.tsx","236","PrimaryButton","","share-button","","'share-button'","<PrimaryButton htmlType='button' className='share-button' onClick={() => { handleShare() }}>{i18n.t(careerAdvisorMessages.share.key)}</PrimaryButton>"
"app\presentation\CareerAdvisor\WelcomeModal\index.tsx","192","","","","","","htmlType=""button"""
"app\presentation\CareerBuddyListingPage\CareerBuddyCard\index.tsx","42","PrimaryButton","","","","","<PrimaryButton htmlType=""button"""
"app\presentation\CareerBuddyListingPage\CareerBuddyCard\index.tsx","59","PrimaryButton","","","","","<PrimaryButton htmlType=""button"""
"app\presentation\CareerBuddyListingPage\index.tsx","166","","","","","","htmlType=""button"""
"app\presentation\CareerBuddyListingPage\index.tsx","204","","","","","","htmlType=""button"""
"app\presentation\CCEInterviewCoach\index.tsx","147","","","","","","htmlType=""button"""
"app\presentation\CCEInterviewCoach\index.tsx","179","","","","","","htmlType=""button"""
"app\presentation\ChangePassword\index.jsx","100","Button","","","","","<Button"
"app\presentation\Chat\ChatHome.tsx","135","PrimaryButton","","","","","<PrimaryButton onClick={toggleChatModal} htmlType=""button"">"
"app\presentation\CohortDetail\components\IntroSection\index.tsx","236","span","","read-more-text-section","","'read-more-text-section'","<span className='read-more-text-section' role=""button"""
"app\presentation\CohortDetail\ManageStudentPage\Components\CertificateActions\index.tsx","74","","","","","","htmlType=""button"""
"app\presentation\CohortDetail\ManageStudentPage\Components\CertificateActions\index.tsx","81","button","","custom-modal-close","","""custom-modal-close""","<button className=""custom-modal-close"" onClick={onClose}>"
"app\presentation\CohortDetail\ManageStudentPage\Components\CertificateActions\index.tsx","96","","","","","","htmlType=""button"""
"app\presentation\CourseDetails\ActivityPage\ActivityPlayer\index.tsx","853","","","","","","htmlType=""button"""
"app\presentation\CourseDetails\ActivityPage\ActivityPlayer\index.tsx","894","WFDefaultButton","","fullscreen-button-new","","""fullscreen-button-new""","<WFDefaultButton className=""fullscreen-button-new"" htmlType=""button"" onClick={onFullScreenClick}>"
"app\presentation\CourseDetails\ActivityPage\ActivityPlayer\index.tsx","902","WFDefaultButton","","fullscreen-button -new","","""fullscreen-button","<WFDefaultButton className=""fullscreen-button -new"" htmlType=""button"" onClick={onCloseFullScreen}>"
"app\presentation\CourseDetails\ActivityPage\ActivityPlayer\index.tsx","910","WFDefaultButton","","arrow-btns","","""arrow-btns""","<WFDefaultButton className=""arrow-btns"" disabled={currentActivityIndex < 1} htmlType=""button"" onClick={onPrevClick}>"
"app\presentation\CourseDetails\ActivityPage\ActivityPlayer\index.tsx","916","WFDefaultButton","","arrow-btns","","""arrow-btns""","<WFDefaultButton className=""arrow-btns"" htmlType=""button"" onClick={onNextClick}>"
"app\presentation\CourseDetails\ActivityPage\AICoachInput\index.tsx","302","WFDefaultButton","","ai-toolkit-btn","","""ai-toolkit-btn""","<WFDefaultButton className=""ai-toolkit-btn"" htmlType=""button"" onClick={openShortcut}>{i18n.t('toolkit')}</WFDefaultButton>"
"app\presentation\CourseDetails\CollaborateActivities\Components\CollaborateActivityDetails\index.tsx","342","","","","","","htmlType=""button"""
"app\presentation\CourseDetails\CollaborateActivities\Components\CollaborateActivityHomePage\index.tsx","81","","","","","","htmlType=""button"""
"app\presentation\CourseDetails\Components\AICoach\AICoach.tsx","635","WFDefaultButton","","ai-toolkit-btn","","""ai-toolkit-btn""","<WFDefaultButton className=""ai-toolkit-btn"" htmlType=""button"" onClick={onToolkitClick}>{i18n.t('toolkit')}</WFDefaultButton>"
